block_size,cache_pct,cache_blocks,cache_bytes,t_start,t_end,cache_type,cache_hit_count,cache_miss_count,cache_miss_by_in_use,bytes_to_read,bytes_to_cache,bytes_from_hits,bytes_from_misses
65536,0,0,0,1777372209.001762650,1777372237.168777271,metadata,462630,8,0,,,,
65536,0,0,0,1777372209.001762650,1777372237.168777271,data,0,0,0,0,0,0,0
65536,0,0,0,1777372209.001762650,1777372237.168777271,file handle,2319,239,15,,,,
65536,0,0,0,1777372209.001762650,1777372237.168777271,glob,0,0,0,,,,
65536,20,53637,3515118166,1777372237.182580472,1777372820.533807665,metadata,462598,8,0,,,,
65536,20,53637,3515118166,1777372237.182580472,1777372820.533807665,data,269214,1053076,0,74633343315,86647788118,13614592002,61018751313
65536,20,53637,3515118166,1777372237.182580472,1777372820.533807665,file handle,2303,239,59,,,,
65536,20,53637,3515118166,1777372237.182580472,1777372820.533807665,glob,0,0,0,,,,
65536,40,107273,7030236332,1777372820.548530641,1777373279.033116332,metadata,462612,8,0,,,,
65536,40,107273,7030236332,1777372820.548530641,1777373279.033116332,data,905861,416429,0,74633343315,86647788118,50220241839,24413101476
65536,40,107273,7030236332,1777372820.548530641,1777373279.033116332,file handle,2310,239,15,,,,
65536,40,107273,7030236332,1777372820.548530641,1777373279.033116332,glob,0,0,0,,,,
65536,60,160910,10545354499,1777373279.047974464,1777373690.427110996,metadata,462622,8,0,,,,
65536,60,160910,10545354499,1777373279.047974464,1777373690.427110996,data,1084427,237863,0,74633343315,86647788118,60314838438,14318504877
65536,60,160910,10545354499,1777373279.047974464,1777373690.427110996,file handle,2315,239,17,,,,
65536,60,160910,10545354499,1777373279.047974464,1777373690.427110996,glob,0,0,0,,,,
65536,80,214546,14060472665,1777373690.439525328,1777374061.934442737,metadata,462622,8,0,,,,
65536,80,214546,14060472665,1777373690.439525328,1777374061.934442737,data,1142118,180172,0,74633343315,86647788118,63817911995,10815431320
65536,80,214546,14060472665,1777373690.439525328,1777374061.934442737,file handle,2315,239,18,,,,
65536,80,214546,14060472665,1777373690.439525328,1777374061.934442737,glob,0,0,0,,,,
65536,100,268183,17575590832,1777374061.948688845,1777374438.188728697,metadata,462618,8,0,,,,
65536,100,268183,17575590832,1777374061.948688845,1777374438.188728697,data,1142155,180135,0,74633343315,86647788118,63818073854,10815269461
65536,100,268183,17575590832,1777374061.948688845,1777374438.188728697,file handle,2314,238,43,,,,
65536,100,268183,17575590832,1777374061.948688845,1777374438.188728697,glob,0,0,0,,,,
262144,0,0,0,1777374438.201381150,1777374466.317716593,metadata,462630,8,0,,,,
262144,0,0,0,1777374438.201381150,1777374466.317716593,data,0,0,0,0,0,0,0
262144,0,0,0,1777374438.201381150,1777374466.317716593,file handle,2320,238,17,,,,
262144,0,0,0,1777374438.201381150,1777374466.317716593,glob,0,0,0,,,,
262144,20,13410,3515118166,1777374466.329191725,1777374655.868280553,metadata,462628,8,0,,,,
262144,20,13410,3515118166,1777374466.329191725,1777374655.868280553,data,91907,376576,0,74633343315,122763132570,10394777296,64238566019
262144,20,13410,3515118166,1777374466.329191725,1777374655.868280553,file handle,2318,239,18,,,,
262144,20,13410,3515118166,1777374466.329191725,1777374655.868280553,glob,0,0,0,,,,
262144,40,26819,7030236332,1777374655.883765129,1777374858.266824708,metadata,462622,8,0,,,,
262144,40,26819,7030236332,1777374655.883765129,1777374858.266824708,data,285991,182492,0,74633343315,122763132570,41721282878,32912060437
262144,40,26819,7030236332,1777374655.883765129,1777374858.266824708,file handle,2316,238,21,,,,
262144,40,26819,7030236332,1777374655.883765129,1777374858.266824708,glob,0,0,0,,,,
262144,60,40228,10545354499,1777374858.283016853,1777375022.327757722,metadata,462626,8,0,,,,
262144,60,40228,10545354499,1777374858.283016853,1777375022.327757722,data,397237,71246,0,74633343315,122763132570,61568482648,13064860667
262144,60,40228,10545354499,1777374858.283016853,1777375022.327757722,file handle,2317,239,16,,,,
262144,60,40228,10545354499,1777374858.283016853,1777375022.327757722,glob,0,0,0,,,,
