workload,threads,version,lookups
uniform,1,noguards,63470990
zipfian,1,noguards,19699328
uniform,1,guards,562487
zipfian,1,guards,1143833
uniform,8,noguards,507183917
zipfian,8,noguards,157666743
uniform,8,guards,4507158
zipfian,8,guards,9170967
uniform,16,noguards,1015308075
zipfian,16,noguards,315283484
uniform,16,guards,8920657
zipfian,16,guards,17960628
uniform,32,noguards,2032134667
zipfian,32,noguards,630009306
uniform,32,guards,17568940
zipfian,32,guards,35915094
uniform,64,noguards,4059339624
zipfian,64,noguards,1259737711
uniform,64,guards,34496024
zipfian,64,guards,70906920
uniform,96,noguards,6082988717
zipfian,96,noguards,1879701124
uniform,96,guards,51276650
zipfian,96,guards,106369643
uniform,128,noguards,6324216662
zipfian,128,noguards,1959277596
uniform,128,guards,58664811
zipfian,128,guards,127969776
