threads,batch,tlb_pct
1,1,4.5185
4,1,6.6957
8,1,8.5946
32,1,63.0830
48,1,67.0285
64,1,67.4272
96,1,68.0792
112,1,67.7041
128,1,64.6170
144,1,64.2975
160,1,62.3941
176,1,63.2908
192,1,63.6079
1,16,0.3267
4,16,0.8024
8,16,1.3939
32,16,31.9401
48,16,47.5302
64,16,52.0598
96,16,61.1692
112,16,63.1500
128,16,65.0940
144,16,65.6577
160,16,67.2446
176,16,68.4547
192,16,67.4863
1,32,0.1850
4,32,0.4303
8,32,0.7031
32,32,21.8383
48,32,36.9290
64,32,44.9356
96,32,57.1667
112,32,60.0441
128,32,62.2518
144,32,64.2476
160,32,66.4480
176,32,67.1893
192,32,67.8928
1,64,0.1028
4,64,0.2376
8,64,0.3705
32,64,12.6027
48,64,25.3654
64,64,33.4697
96,64,47.5997
112,64,51.4130
128,64,54.6506
144,64,58.9302
160,64,60.4073
176,64,63.1609
192,64,64.4561
1,96,0.0693
4,96,0.1637
8,96,0.2795
32,96,8.4826
48,96,19.2734
64,96,26.8353
96,96,41.4560
112,96,45.1822
128,96,48.6597
144,96,52.2596
160,96,56.7504
176,96,59.4955
192,96,60.9344
