batch,threads,tx
1,1,9827
1,4,27078
1,8,60023
1,32,31520
1,48,28155
1,64,25419
1,96,20795
1,112,20271
1,128,21049
1,144,21672
1,160,22645
1,176,22898
1,192,24185
16,1,46981
16,4,175882
16,8,357398
16,32,696828
16,48,611212
16,64,578645
16,96,449996
16,112,408691
16,128,375422
16,144,346097
16,160,315781
16,176,291732
16,192,291862
32,1,53370
32,4,203967
32,8,387371
32,32,920511
32,48,907450
32,64,869124
32,96,698588
32,112,647947
32,128,599780
32,144,560464
32,160,512074
32,176,493894
32,192,473832
64,1,55813
64,4,211983
64,8,408857
64,32,1162889
64,48,1245702
64,64,1240820
64,96,1049262
64,112,939471
64,128,868663
64,144,794877
64,160,767798
64,176,692969
64,192,645268
96,1,54491
96,4,208977
96,8,404623
96,32,1236169
96,48,1397118
96,64,1435994
96,96,1271043
96,112,1189487
96,128,1111003
96,144,1008273
96,160,919964
96,176,848605
96,192,780264
